iter	RMSE
0	14.52783113
1	14.0798167
2	13.63768686
3	13.22284702
4	12.81622116
5	12.47347694
6	12.1220575
7	11.81902475
8	11.52376086
9	11.21468915
10	10.8911208
11	10.58317171
12	10.3020014
13	10.03445184
14	9.80191057
15	9.595684833
16	9.360681569
17	9.148716752
18	8.965035447
19	8.770959826
20	8.613612926
21	8.457357145
22	8.318614604
23	8.166811292
24	8.034306589
25	7.930365834
26	7.795531789
27	7.676585453
28	7.569569181
29	7.453898825
30	7.364609342
31	7.266995815
32	7.166731981
33	7.094758694
34	7.003074707
35	6.950192004
36	6.874393505
37	6.80163898
38	6.748625305
39	6.684894445
40	6.638427746
41	6.579793139
42	6.523126071
43	6.46512266
44	6.411909843
45	6.357439093
46	6.304438142
47	6.26159606
48	6.226829664
49	6.185753543
50	6.149721548
51	6.111025931
52	6.074132046
53	6.032775159
54	6.000461919
55	5.97493427
56	5.950337343
57	5.923964481
58	5.898390849
59	5.878771891
60	5.857249401
61	5.837919389
62	5.820118206
63	5.79854096
64	5.777134455
65	5.75781201
66	5.741865497
67	5.722764676
68	5.705289672
69	5.687790811
70	5.673416624
71	5.656330684
72	5.641356042
73	5.629580501
74	5.618721997
75	5.606947656
76	5.595178298
77	5.581031909
78	5.566289553
79	5.554243216
80	5.541459183
81	5.533081769
82	5.51929091
83	5.510104754
84	5.49917631
85	5.491896353
86	5.480143339
87	5.473387566
88	5.462853017
89	5.456872895
90	5.449407605
91	5.442488664
92	5.433190336
93	5.42377844
94	5.416162148
95	5.4124719
96	5.408008507
97	5.398753314
98	5.390643347
99	5.383805342
