iter	Passed	Remaining
0	159	159577
1	160	80199
2	161	53618
3	161	40318
4	162	32344
5	163	27022
6	163	23213
7	164	20352
8	164	18142
9	165	16367
10	165	14911
11	166	13699
12	166	12674
13	167	11795
14	168	11032
15	168	10366
16	169	9778
17	169	9254
18	170	8786
19	170	8363
20	171	7979
21	171	7630
22	172	7310
23	172	7016
24	172	6746
25	173	6497
26	173	6267
27	174	6054
28	174	5855
29	175	5667
30	175	5493
31	176	5329
32	176	5177
33	177	5033
34	177	4896
35	178	4767
36	178	4645
37	178	4531
38	179	4420
39	179	4316
40	180	4217
41	180	4123
42	181	4033
43	181	3948
44	182	3865
45	182	3787
46	183	3712
47	183	3640
48	184	3571
49	184	3505
50	184	3441
51	185	3380
52	185	3320
53	186	3263
54	186	3209
55	187	3156
56	187	3105
57	188	3056
58	188	3011
59	189	2965
60	189	2921
61	190	2878
62	190	2837
63	191	2797
64	191	2758
65	192	2720
66	192	2682
67	192	2643
68	193	2608
69	193	2575
70	194	2543
71	194	2510
72	195	2479
73	195	2448
74	196	2419
75	196	2390
76	197	2362
77	197	2335
78	198	2309
79	198	2283
80	198	2257
81	199	2232
82	199	2208
83	200	2185
84	200	2160
85	201	2138
86	201	2114
87	201	2092
88	202	2071
89	203	2053
90	203	2033
91	204	2015
92	204	1996
93	205	1977
94	205	1960
95	206	1942
96	206	1924
97	207	1907
98	207	1890
99	208	1874
100	208	1858
101	209	1840
102	209	1824
103	210	1809
104	210	1794
105	211	1780
106	211	1765
107	212	1751
108	212	1736
109	212	1722
110	213	1709
111	213	1695
112	214	1682
113	214	1669
114	215	1656
115	215	1643
116	216	1630
117	216	1618
118	216	1605
119	217	1594
120	217	1583
121	218	1572
122	218	1559
123	219	1548
124	219	1537
125	220	1526
126	220	1516
127	220	1505
128	221	1494
129	221	1484
130	222	1474
131	222	1464
132	223	1455
133	223	1445
134	224	1436
135	224	1426
136	225	1417
137	225	1407
138	225	1398
139	226	1390
140	226	1381
141	227	1373
142	227	1364
143	228	1356
144	228	1347
145	229	1340
146	229	1332
147	230	1324
148	230	1316
149	231	1309
150	231	1302
151	232	1295
152	232	1287
153	233	1280
154	233	1272
155	233	1265
156	234	1258
157	234	1251
158	235	1244
159	235	1237
160	236	1230
161	236	1224
162	237	1217
163	237	1211
164	238	1205
165	238	1198
166	239	1192
167	239	1185
168	239	1179
169	240	1173
170	240	1167
171	241	1161
172	241	1155
173	242	1149
174	242	1144
175	243	1138
176	243	1132
177	244	1127
178	244	1122
179	245	1116
180	245	1109
181	245	1104
182	246	1099
183	246	1093
184	247	1089
185	247	1084
186	248	1079
187	248	1074
188	249	1069
189	249	1065
190	250	1060
191	250	1055
192	251	1050
193	251	1045
194	252	1040
195	252	1035
196	252	1031
197	253	1026
198	253	1022
199	254	1017
200	254	1012
201	255	1008
202	255	1003
203	256	999
204	256	995
205	257	991
206	257	987
207	258	982
208	258	978
209	259	974
210	259	970
211	260	966
212	260	962
213	260	958
214	261	954
215	261	950
216	262	946
217	262	942
218	263	938
219	263	935
220	264	931
221	264	927
222	265	924
223	265	920
224	266	916
225	266	912
226	267	909
227	267	905
228	268	902
229	268	898
230	268	895
231	269	891
232	269	888
233	270	884
234	270	881
235	271	878
236	271	874
237	272	871
238	272	868
239	273	865
240	273	861
241	274	858
242	274	855
243	275	852
244	275	849
245	275	845
246	276	842
247	276	839
248	277	836
249	277	833
250	278	830
251	278	827
252	279	824
253	279	821
254	280	818
255	280	815
256	281	812
257	281	809
258	281	806
259	282	803
260	282	800
261	283	797
262	283	795
263	284	792
264	284	789
265	285	786
266	285	783
267	285	780
268	286	778
269	286	775
270	287	772
271	287	770
272	288	767
273	288	765
274	289	762
275	289	760
276	290	757
277	290	754
278	291	752
279	291	750
280	292	747
281	292	745
282	293	742
283	293	740
284	294	737
285	294	735
286	294	732
287	295	730
288	295	727
289	296	725
290	296	722
291	297	720
292	297	718
293	298	715
294	298	713
295	298	711
296	299	708
297	299	706
298	300	704
299	300	701
300	301	699
301	301	697
302	302	696
303	303	693
304	303	691
305	304	689
306	304	687
307	304	685
308	305	682
309	305	681
310	306	678
311	306	676
312	307	674
313	307	672
314	308	670
315	308	668
316	309	666
317	309	664
318	310	662
319	310	660
320	311	658
321	311	656
322	312	654
323	312	652
324	313	650
325	313	648
326	313	646
327	314	644
328	314	642
329	315	640
330	316	638
331	316	636
332	317	635
333	317	633
334	318	631
335	318	629
336	319	628
337	319	626
338	320	624
339	320	623
340	321	621
341	322	619
342	322	617
343	322	615
344	323	614
345	323	612
346	324	610
347	324	608
348	325	607
349	325	605
350	326	603
351	326	601
352	327	600
353	327	598
354	328	596
355	328	594
356	329	593
357	329	591
358	330	589
359	330	588
360	331	586
361	331	584
362	332	583
363	332	581
364	333	579
365	333	578
366	334	576
367	334	574
368	335	573
369	335	571
370	336	569
371	336	568
372	337	566
373	337	564
374	337	563
375	338	561
376	338	559
377	339	558
378	339	556
379	340	555
380	340	553
381	341	551
382	341	550
383	342	548
384	342	547
385	343	545
386	343	544
387	344	542
388	344	541
389	344	539
390	345	537
391	345	536
392	346	534
393	346	533
394	347	531
395	347	530
396	348	528
397	348	527
398	349	525
399	349	524
400	350	522
401	350	521
402	351	520
403	351	518
404	352	517
405	352	515
406	352	514
407	353	512
408	353	511
409	354	509
410	354	508
411	355	506
412	355	505
413	356	504
414	356	502
415	357	501
416	357	499
417	358	498
418	358	497
419	359	495
420	359	494
421	360	493
422	360	491
423	360	490
424	361	488
425	361	487
426	362	486
427	362	484
428	363	483
429	363	481
430	364	480
431	364	479
432	365	477
433	365	476
434	365	475
435	366	473
436	366	472
437	367	471
438	367	469
439	368	468
440	368	467
441	369	466
442	369	464
443	370	463
444	370	462
445	371	460
446	371	459
447	372	458
448	372	457
449	373	456
450	374	455
451	374	454
452	375	453
453	375	451
454	376	450
455	376	449
456	377	448
457	377	446
458	378	445
459	378	444
460	379	443
461	379	441
462	379	440
463	380	439
464	380	438
465	381	436
466	381	435
467	382	434
468	382	433
469	383	432
470	383	430
471	384	429
472	384	428
473	385	427
474	385	426
475	385	424
476	386	423
477	386	422
478	387	421
479	387	420
480	388	419
481	388	417
482	389	416
483	389	415
484	390	414
485	390	413
486	391	412
487	391	410
488	392	409
489	392	408
490	393	407
491	393	406
492	393	405
493	394	403
494	394	402
495	395	401
496	395	400
497	396	399
498	396	398
499	397	397
500	397	396
501	398	394
502	398	393
503	399	392
504	399	391
505	400	390
506	400	389
507	401	388
508	401	387
509	401	386
510	402	385
511	402	383
512	403	382
513	403	381
514	404	380
515	404	379
516	405	378
517	405	377
518	406	376
519	406	375
520	407	374
521	407	373
522	408	372
523	408	371
524	408	370
525	409	368
526	409	367
527	410	366
528	410	365
529	411	364
530	411	363
531	412	362
532	412	361
533	413	360
534	413	359
535	413	358
536	414	357
537	415	356
538	415	355
539	416	354
540	416	353
541	417	352
542	417	351
543	418	350
544	418	349
545	419	348
546	419	347
547	420	346
548	420	345
549	421	344
550	421	343
551	422	342
552	422	341
553	423	340
554	423	339
555	424	338
556	424	337
557	425	336
558	425	335
559	426	334
560	426	333
561	427	332
562	427	332
563	428	331
564	428	330
565	429	329
566	429	328
567	430	327
568	430	326
569	430	325
570	431	324
571	431	323
572	432	322
573	432	321
574	433	320
575	433	319
576	434	318
577	434	317
578	435	316
579	435	315
580	436	314
581	436	313
582	436	312
583	437	311
584	437	310
585	438	309
586	438	308
587	439	307
588	439	306
589	440	305
590	440	304
591	441	304
592	441	303
593	442	302
594	442	301
595	443	300
596	443	299
597	444	298
598	444	297
599	445	296
600	445	295
601	445	294
602	446	293
603	446	292
604	447	292
605	447	291
606	448	290
607	448	289
608	449	288
609	449	287
610	450	286
611	450	285
612	451	284
613	451	283
614	452	282
615	452	282
616	452	281
617	453	280
618	453	279
619	454	278
620	454	277
621	455	276
622	455	275
623	456	275
624	456	274
625	457	273
626	457	272
627	458	271
628	458	270
629	459	269
630	459	268
631	459	267
632	460	266
633	460	266
634	461	265
635	461	264
636	462	263
637	462	262
638	463	261
639	463	260
640	464	259
641	464	259
642	465	258
643	465	257
644	465	256
645	466	255
646	466	254
647	467	253
648	467	252
649	468	252
650	468	251
651	469	250
652	469	249
653	470	248
654	470	247
655	471	247
656	471	246
657	472	245
658	473	244
659	473	243
660	473	243
661	474	242
662	474	241
663	475	240
664	475	239
665	476	238
666	476	238
667	477	237
668	477	236
669	478	235
670	478	234
671	479	233
672	479	233
673	480	232
674	480	231
675	481	230
676	481	229
677	482	228
678	482	228
679	482	227
680	483	226
681	483	225
682	484	224
683	485	224
684	485	223
685	486	222
686	486	221
687	487	220
688	487	220
689	488	219
690	488	218
691	489	217
692	489	216
693	489	216
694	490	215
695	490	214
696	491	213
697	491	212
698	492	211
699	492	211
700	493	210
701	493	209
702	494	208
703	494	207
704	495	207
705	495	206
706	495	205
707	496	204
708	496	203
709	497	203
710	497	202
711	497	201
712	498	200
713	499	199
714	499	199
715	500	198
716	500	197
717	501	196
718	501	196
719	502	195
720	502	194
721	503	193
722	503	192
723	504	192
724	504	191
725	505	190
726	505	189
727	505	189
728	506	188
729	506	187
730	507	186
731	507	185
732	508	185
733	508	184
734	509	183
735	509	182
736	510	182
737	510	181
738	510	180
739	511	179
740	511	178
741	512	178
742	512	177
743	513	176
744	513	175
745	514	175
746	514	174
747	515	173
748	515	172
749	516	172
750	516	171
751	517	170
752	517	169
