iter	Passed	Remaining
0	148	148376
1	149	74520
2	150	49923
3	161	40240
4	162	32350
5	163	27072
6	164	23294
7	165	20462
8	165	18249
9	166	16491
10	167	15055
11	168	13855
12	168	12827
13	169	11944
14	170	11185
15	170	10513
16	172	9955
17	172	9433
18	173	8965
19	174	8544
20	175	8159
21	175	7811
22	176	7492
23	177	7201
24	177	6930
25	178	6683
26	179	6458
27	180	6259
28	181	6067
29	181	5882
30	182	5708
31	183	5543
32	184	5397
33	184	5255
34	185	5119
35	186	4991
36	187	4873
37	188	4761
38	188	4653
39	189	4550
40	190	4452
41	191	4358
42	191	4267
43	192	4180
44	193	4107
45	194	4035
46	195	3963
47	196	3893
48	197	3826
49	197	3758
50	198	3692
51	199	3630
52	199	3571
53	200	3515
54	201	3459
55	202	3405
56	202	3353
57	203	3302
58	203	3253
59	204	3205
60	205	3158
61	205	3113
62	206	3070
63	207	3032
64	208	2992
65	208	2952
66	209	2913
67	209	2876
68	210	2845
69	211	2815
70	212	2785
71	213	2752
72	214	2721
73	214	2689
74	215	2658
75	216	2628
76	216	2598
77	217	2570
78	218	2543
79	218	2515
80	219	2489
81	219	2462
82	220	2434
83	221	2411
84	222	2390
85	223	2372
86	224	2357
87	225	2337
88	226	2315
89	226	2294
90	227	2274
91	228	2254
92	229	2234
93	229	2215
94	230	2197
95	231	2177
96	231	2158
97	232	2140
98	233	2121
99	233	2104
100	234	2087
101	235	2070
102	235	2054
103	236	2039
104	237	2028
105	239	2019
106	240	2004
107	241	1991
108	242	1979
109	243	1966
110	243	1952
111	244	1937
112	245	1924
113	245	1911
114	246	1897
115	247	1885
116	248	1874
117	249	1863
118	250	1857
119	251	1846
120	252	1835
121	253	1822
122	253	1810
123	254	1798
124	255	1788
125	256	1777
126	256	1765
127	257	1754
128	258	1743
129	258	1732
130	259	1721
131	260	1710
132	260	1699
133	261	1689
134	262	1681
135	263	1674
136	264	1668
137	265	1660
138	266	1651
139	267	1642
140	268	1633
141	268	1623
142	269	1615
143	270	1606
144	270	1597
145	271	1588
146	272	1579
147	272	1570
148	273	1562
149	274	1554
150	274	1545
151	275	1538
152	276	1530
153	277	1523
154	278	1516
155	279	1510
156	280	1503
157	281	1497
158	281	1489
159	282	1482
160	283	1474
161	283	1467
162	284	1460
163	285	1453
164	285	1446
165	286	1439
166	286	1431
167	287	1424
168	288	1417
169	289	1411
170	289	1403
171	290	1396
172	290	1389
173	291	1383
